public_result_id,family,setting,window_len,stride,seed,max_len_or_tokens,context_axis_label,quality_metric_name,test_acc,quality_metric,pr_auc_metric,infer_windows_per_sec_bench,infer_ms_per_window_median,flows_per_sec,d_model,n_layers,n_heads,pool,causal,backbone_params
efficiency_shallow_context_128_row01,ShallowTransformer,legacy,32.0,16.0,2.0,128.0,128,Macro-F1,0.9957513416815742,0.9304657950336166,0.9226427513646798,41515.00230299797,0.02408771802371781,1328480.073695935,256.0,2.0,4.0,mean,0.0,
efficiency_shallow_context_256_row02,ShallowTransformer,legacy,32.0,16.0,1.0,256.0,256,Macro-F1,0.995304114490161,0.9261468887540376,0.9203256739839183,19593.27081299232,0.05103795739975106,626984.6660157542,256.0,2.0,4.0,mean,0.0,
efficiency_shallow_context_384_row03,ShallowTransformer,legacy,32.0,16.0,0.0,384.0,384,Macro-F1,0.9950805008944544,0.9240221461862912,0.9439758267621615,12411.939047350115,0.0805997610695612,397182.0495152037,256.0,2.0,4.0,mean,0.0,
efficiency_shallow_context_512_row04,ShallowTransformer,legacy,32.0,16.0,2.0,512.0,512,Macro-F1,0.9966457960644007,0.9522277344412624,0.945264649331885,9102.197480581586,0.10986451364005134,291270.31937861076,256.0,2.0,4.0,mean,0.0,
efficiency_shallow_context_768_row05,ShallowTransformer,legacy,32.0,16.0,1.0,768.0,768,Macro-F1,0.9964221824686941,0.950143365414571,0.9535669401804887,5252.767683741936,0.19037778130628608,168088.56587974195,256.0,2.0,4.0,mean,0.0,
efficiency_shallow_context_1024_row06,ShallowTransformer,legacy,32.0,16.0,1.0,1024.0,1024,Macro-F1,0.9961985688729875,0.9497782174543425,0.9645325913975146,3534.891589482134,0.2828959821122608,113116.53086342828,256.0,2.0,4.0,mean,0.0,
efficiency_llm_context_64_row07,ModernBERT,legacy,32.0,16.0,,64.0,64,Macro-F1,0.8397063704977444,0.5914643140997484,,,,5322.599,,,,,,149014272.0
efficiency_llm_context_128_row08,ModernBERT,legacy,32.0,16.0,,128.0,128,Macro-F1,0.83927648297591,0.5883636303695131,,,,5381.15,,,,,,149014272.0
efficiency_llm_context_256_row09,ModernBERT,legacy,32.0,16.0,,256.0,256,Macro-F1,0.8618428570651198,0.6645832213418602,,,,3196.322,,,,,,149014272.0
efficiency_llm_context_512_row10,ModernBERT,legacy,32.0,16.0,,512.0,512,Macro-F1,0.8674477196915693,0.6828996069375297,,,,3102.133,,,,,,149014272.0
efficiency_llm_context_1024_row11,ModernBERT,legacy,32.0,16.0,,1024.0,1024,Macro-F1,0.8705222317148159,0.6918449544352748,,,,3772.699,,,,,,149014272.0
efficiency_llm_context_1536_row12,ModernBERT,legacy,32.0,16.0,,1536.0,1536,Macro-F1,0.8728512425926027,0.7021253806373815,,,,2498.927,,,,,,149014272.0
efficiency_llm_context_2048_row13,ModernBERT,legacy,32.0,16.0,,2048.0,2048,Macro-F1,0.8753271770538013,0.7098951122894422,,,,1823.486,,,,,,149014272.0
efficiency_llm_context_4096_row14,ModernBERT,legacy,32.0,16.0,,4096.0,4096,Macro-F1,0.8821781693321507,0.7674931670244247,,,,609.618,,,,,,149014272.0
