dataset,method,k,stride,n_flows_used,n_sessions,n_windows,eligible_related_pairs,retained_related_pairs,retention,fragmentation,purity,emittable_related_pairs,emittable_retained_related_pairs,emittable_retention,emittable_fragmentation,flow_coverage,pair_coverage,short_session_handling,source_file
UNSW-NB15,timestamp_sliding,8,4,2540047,11991,635007,17548964,3280413,0.18692915433640414,0.8130708456635959,0.41809007617238864,17532340,3279194,0.18703687014967768,0.8129631298503224,0.9944382918898744,0.9990527076128255,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,UNSW prepared flow table
UNSW-NB15,session_coherent,8,4,2540047,11991,624308,17548964,13766726,0.784475140526814,0.215524859473186,1.0,17532340,13766726,0.7852189724817109,0.2147810275182891,0.9944382918898744,0.9990527076128255,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,UNSW prepared flow table
UNSW-NB15,timestamp_sliding,16,8,2540047,11991,317501,37278950,5419313,0.14537193241762442,0.8546280675823756,0.33903948334020995,37194420,5403118,0.14526689756151595,0.8547331024384841,0.9894887771761703,0.9977325005130241,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,UNSW prepared flow table
UNSW-NB15,session_coherent,16,8,2540047,11991,308049,37278950,28458528,0.7633940333619912,0.2366059666380088,1.0,37194420,28458528,0.7651289628928211,0.23487103710717894,0.9894887771761703,0.9977325005130241,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,UNSW prepared flow table
UNSW-NB15,timestamp_sliding,32,16,2540047,11991,158748,76003634,8812355,0.11594649540046993,0.88405350459953,0.28567308721999646,75564608,8604301,0.11386681182809814,0.8861331881719019,0.9759441459154102,0.994223618307514,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,UNSW prepared flow table
UNSW-NB15,session_coherent,32,16,2540047,11991,151147,76003634,57141592,0.751827103425081,0.24817289657491903,1.0,75564608,57141592,0.7561951753921624,0.2438048246078376,0.9759441459154102,0.994223618307514,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,UNSW prepared flow table
CICIDS2018,timestamp_sliding,8,4,20115529,18169921,5028878,2424278,960389,0.39615464893052693,0.603845351069473,0.14890113162419133,465689,14456,0.03104217621631604,0.968957823783684,0.0036437023356432736,0.19209389352211256,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,CICIDS prepared flow table
CICIDS2018,session_coherent,8,4,20115529,18169921,16053,2424278,363318,0.14986647570946895,0.850133524290531,1.0,465689,363318,0.7801730339346645,0.21982696606533547,0.0036437023356432736,0.19209389352211256,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,CICIDS prepared flow table
CICIDS2018,timestamp_sliding,16,8,20115529,18169921,2514437,2868182,1076499,0.37532450869575223,0.6246754913042478,0.08402842763608713,878820,23742,0.027015771147675293,0.9729842288523247,0.003290393208152766,0.3064031501487702,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,CICIDS prepared flow table
CICIDS2018,session_coherent,16,8,20115529,18169921,6935,2868182,664620,0.23172169687976565,0.7682783031202344,1.0,878820,664620,0.756264081381853,0.24373591861814703,0.003290393208152766,0.3064031501487702,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,CICIDS prepared flow table
CICIDS2018,timestamp_sliding,32,16,20115529,18169921,1257216,3584637,1157467,0.3228965722331159,0.6771034277668841,0.04857103413415038,1552170,41309,0.02661370854996553,0.9733862914500344,0.003084880342943007,0.4330061872373688,drop_short_sessions: inspected session-window builders return/continue when session length is smaller than k; no padding is used for these training windows.,CICIDS prepared flow table
