benchmark_selection,method,repetition,input_rows,elapsed_sec,input_flows_per_sec,emitted_windows,emitted_windows_per_sec,windows_per_input_flow,incremental_rss_mib,k,s
main benchmark,global sliding,0,3164825,1.58953357302,1991040.04705,197800,124439.019948,0.0624995062918,0,32,16
main benchmark,global sliding,1,3164825,1.33869868703,2364105.55315,197800,147755.429893,0.0624995062918,0,32,16
main benchmark,global sliding,2,3164825,1.48146523442,2136280.30309,197800,133516.464244,0.0624995062918,0,32,16
main benchmark,global sliding,3,3164825,1.36071651615,2325851.83059,197800,145364.59112,0.0624995062918,0,32,16
main benchmark,global sliding,4,3164825,1.38066470623,2292247.33979,197800,143264.327036,0.0624995062918,0,32,16
main benchmark,global sliding,5,3164825,1.52076535486,2081073.84212,197800,130066.08769,0.0624995062918,0,32,16
main benchmark,global sliding,6,3164825,1.32675735187,2385383.42791,197800,149085.286561,0.0624995062918,0,32,16
main benchmark,session-aware,0,3164825,2.97597708274,1063457.45011,97969,32919.9443666,0.0309555820622,0.1015625,32,16
main benchmark,session-aware,1,3164825,3.23111836147,979482.843384,97969,30320.4615369,0.0309555820622,0,32,16
main benchmark,session-aware,2,3164825,3.03888078313,1041444.27697,97969,32238.5137791,0.0309555820622,0.66015625,32,16
main benchmark,session-aware,3,3164825,3.14287388604,1006984.40814,97969,31171.7884816,0.0309555820622,0,32,16
main benchmark,session-aware,4,3164825,2.95589806326,1070681.37408,97969,33143.5651377,0.0309555820622,0,32,16
main benchmark,session-aware,5,3164825,2.96308449656,1068084.62724,97969,33063.181328,0.0309555820622,0,32,16
main benchmark,session-aware,6,3164825,2.99178197328,1057839.45096,97969,32746.0359328,0.0309555820622,1.6484375,32,16
complete-session robustness check,global sliding,0,2745551,1.14053036459,2407258.13643,171595,150451.934756,0.0624992943129,0,32,16
complete-session robustness check,global sliding,1,2745551,1.20751716662,2273715.91551,171595,142105.640187,0.0624992943129,0,32,16
complete-session robustness check,global sliding,2,2745551,1.15032998938,2386750.78051,171595,149170.239483,0.0624992943129,0,32,16
complete-session robustness check,global sliding,3,2745551,1.13499712758,2418993.78711,171595,151185.404642,0.0624992943129,0,32,16
complete-session robustness check,global sliding,4,2745551,1.20308773126,2282087.10691,171595,142628.833742,0.0624992943129,0,32,16
complete-session robustness check,global sliding,5,2745551,1.14088395797,2406512.05657,171595,150405.305291,0.0624992943129,0,32,16
complete-session robustness check,global sliding,6,2745551,1.1773800021,2331915.77494,171595,145743.090331,0.0624992943129,0,32,16
complete-session robustness check,session-aware,0,2745551,2.63762804866,1040916.66806,71867,27246.8288455,0.0261758022342,0.02734375,32,16
complete-session robustness check,session-aware,1,2745551,2.85047267564,963191.481703,71867,25212.3097388,0.0261758022342,0,32,16
complete-session robustness check,session-aware,2,2745551,2.67839300074,1025073.98998,71867,26832.1340372,0.0261758022342,0,32,16
complete-session robustness check,session-aware,3,2745551,2.6336104311,1042504.60416,71867,27288.3943469,0.0261758022342,0.23046875,32,16
complete-session robustness check,session-aware,4,2745551,2.86544793379,958157.699405,71867,25080.5464488,0.0261758022342,0,32,16
complete-session robustness check,session-aware,5,2745551,2.8227343969,972656.514552,71867,25460.0645668,0.0261758022342,0,32,16
complete-session robustness check,session-aware,6,2745551,2.6807328565,1024179.26252,71867,26808.7138282,0.0261758022342,0,32,16
