public_result_id,evidence_type,setting,metric,mean,std,n,source_table,component,notes
robustness_sensitivity_001,repeated_seed,capacity d=64 L=1 H=2,present_f1,0.853813854998,0.135458174618,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_002,repeated_seed,capacity d=64 L=1 H=2,pr_auc,0.855560737834,0.142247684734,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_003,repeated_seed,capacity d=64 L=1 H=2,accuracy,0.994856887299,0.00102472622875,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_004,repeated_seed,capacity d=64 L=1 H=2,throughput_flows_per_sec,1394862.90725,3865.98501548,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_005,repeated_seed,capacity d=64 L=1 H=4,present_f1,0.928996782297,0.0110614461194,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_006,repeated_seed,capacity d=64 L=1 H=4,pr_auc,0.952984528616,0.0103813299386,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_007,repeated_seed,capacity d=64 L=1 H=4,accuracy,0.99530411449,0.000387310109027,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_008,repeated_seed,capacity d=64 L=1 H=4,throughput_flows_per_sec,1141720.19881,17714.3485358,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_009,repeated_seed,capacity d=64 L=1 H=8,present_f1,0.929960767208,0.00654165441695,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_010,repeated_seed,capacity d=64 L=1 H=8,pr_auc,0.951397404631,0.00282758174597,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_011,repeated_seed,capacity d=64 L=1 H=8,accuracy,0.99530411449,0.000223613595707,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_012,repeated_seed,capacity d=64 L=1 H=8,throughput_flows_per_sec,866976.747467,10132.7154454,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_013,repeated_seed,capacity d=64 L=2 H=2,present_f1,0.942181331148,0.0102405975657,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_014,repeated_seed,capacity d=64 L=2 H=2,pr_auc,0.955200653638,0.00688616085406,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_015,repeated_seed,capacity d=64 L=2 H=2,accuracy,0.996049493143,0.000645516848378,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_016,repeated_seed,capacity d=64 L=2 H=2,throughput_flows_per_sec,765835.86021,7265.42872956,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_017,repeated_seed,capacity d=64 L=2 H=4,present_f1,0.920132463994,0.0350277885275,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_018,repeated_seed,capacity d=64 L=2 H=4,pr_auc,0.956425813378,0.00355319542725,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_019,repeated_seed,capacity d=64 L=2 H=4,accuracy,0.995974955277,0.000447227191413,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_020,repeated_seed,capacity d=64 L=2 H=4,throughput_flows_per_sec,611431.0099,4607.06885073,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_021,repeated_seed,capacity d=64 L=2 H=8,present_f1,0.918167274936,0.0398010319854,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_022,repeated_seed,capacity d=64 L=2 H=8,pr_auc,0.916960597947,0.0520215227173,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_023,repeated_seed,capacity d=64 L=2 H=8,accuracy,0.995676803816,0.000258206739351,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
robustness_sensitivity_024,repeated_seed,capacity d=64 L=2 H=8,throughput_flows_per_sec,447072.808544,2336.90055274,3,public summary table,main_result,Canonical capacity mean/std; Macro-F1 metric.
