public_result_id,seed,d_model,n_layers,n_heads,macro_f1,accuracy,pr_auc,num_labels,throughput_flows_per_sec
shallow_capacity_d128_l1_h2_mean_seed0,0,128,1,2,0.9327081385706665,0.995304114490161,0.932753587659584,5,1014735.770875531
shallow_capacity_d128_l1_h4_mean_seed0,0,128,1,4,0.935898712832976,0.9955277280858676,0.9366934686740087,5,889071.1223240867
shallow_capacity_d128_l1_h8_mean_seed0,0,128,1,8,0.9107704521430737,0.9941860465116279,0.9555791724070974,5,693083.7973845822
shallow_capacity_d128_l2_h2_mean_seed0,0,128,2,2,0.937201505838743,0.9955277280858676,0.9481772040181904,5,538918.4688434365
shallow_capacity_d128_l2_h4_mean_seed0,0,128,2,4,0.9204644340403032,0.9946332737030411,0.9560893051208863,5,453143.19950561214
shallow_capacity_d128_l2_h8_mean_seed0,0,128,2,8,0.945993890303573,0.9964221824686941,0.960737600165737,5,360805.3940895927
shallow_capacity_d128_l4_h2_mean_seed0,0,128,4,2,0.9317841358212027,0.995304114490161,0.9550644549013111,5,268245.8320431084
shallow_capacity_d128_l4_h4_mean_seed0,0,128,4,4,0.950028821321545,0.9964221824686941,0.9585083755629709,5,233583.96801582305
shallow_capacity_d128_l4_h8_mean_seed0,0,128,4,8,0.7251259227778565,0.9948568872987478,0.765721250877534,5,179715.43484582074
shallow_capacity_d256_l1_h2_mean_seed0,0,256,1,2,0.8598262501995754,0.9950805008944544,0.9475865226838355,5,641248.2281180016
shallow_capacity_d256_l1_h4_mean_seed0,0,256,1,4,0.8760698222242519,0.9957513416815742,0.9469146003352374,5,578456.1439823846
shallow_capacity_d256_l1_h8_mean_seed0,0,256,1,8,0.9448771616737932,0.9959749552772809,0.9263528733464508,5,498967.1988705945
shallow_capacity_d256_l2_h2_mean_seed0,0,256,2,2,0.8698708005670504,0.9955277280858676,0.9446242454398843,5,321267.19863686897
shallow_capacity_d256_l2_h4_mean_seed0,0,256,2,4,0.9397322087511002,0.9957513416815742,0.9619114400909771,5,293581.5075653807
shallow_capacity_d256_l2_h8_mean_seed0,0,256,2,8,0.9448771616737932,0.9959749552772809,0.9420717555244169,5,250961.0145312708
